generator,copyright,minlat,minlon,maxlat,maxlon,id,visible,version2,timestamp,uid,lat,lon
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057574,TRUE,4,2022-11-16T19:24:58Z,34927,52.1254938,8.413592
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057575,TRUE,3,2022-11-16T19:24:58Z,34927,52.127577,8.4160183
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057577,TRUE,2,2018-03-31T17:04:39Z,34927,52.1280023,8.4136022
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057590,TRUE,6,2018-03-31T16:53:51Z,34927,52.1292635,8.4169059
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057591,TRUE,4,2022-11-16T19:24:58Z,34927,52.1286061,8.4124549
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057592,TRUE,4,2022-11-16T19:24:58Z,34927,52.1285107,8.4131059
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057594,TRUE,1,2008-09-02T05:23:53Z,35394,52.1329117,8.4228544
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057654,TRUE,7,2018-03-31T17:04:39Z,34927,52.132519,8.4233314
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057684,TRUE,8,2015-03-24T22:02:26Z,189689,52.132302,8.4228189
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057703,TRUE,6,2018-03-31T17:04:39Z,34927,52.1326041,8.4224638
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,293057704,TRUE,6,2018-03-31T17:04:39Z,34927,52.1285022,8.4143394
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,297723867,TRUE,4,2022-11-16T19:24:58Z,34927,52.1288056,8.4148725
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,297723868,TRUE,2,2014-02-25T15:53:21Z,715371,52.1288858,8.4151541
